crawl_date,source_time,title,source,Sentiment_label,Positive_sentim,Negative_sentim,Neutral_sentim,link
2025/10/24 18:34,2025-10-22T23:23:10Z,"American Express’ (AXP) Quarter Was One Of The Best I’ve Seen, Says Jim Cramer",Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/american-express-axp-quarter-one-232310195.html
2025/10/24 18:34,2025-10-22T23:23:58Z,"NVIDIA Corporation (NVDA): Don’t Worry About AI Taking Away Jobs, Says Jim Cramer",Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/nvidia-corporation-nvda-don-t-232358832.html
2025/10/24 18:34,2025-10-22T23:23:37Z,Jim Cramer Says Sell American Resources (AREC) Unles Trump Takes A Stake,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/jim-cramer-says-sell-american-232337836.html
2025/10/24 18:34,2025-10-22T22:51:03Z,"Melania Trump, Javier Milei Used as 'Props' for Meme Coin Fraud, Lawsuit Alleges",Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/melania-trump-javier-milei-used-225103363.html
2025/10/24 18:34,2025-10-22T23:23:45Z,Jim Cramer Warns About NioCorp (NB)’s High Share Price Gains,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/jim-cramer-warns-niocorp-nb-232345294.html
2025/10/24 18:34,2025-10-22T23:24:33Z,Jim Cramer Makes Bold Revelation For PG&E Corporation (PCG) & AI Energy Shortage,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/jim-cramer-makes-bold-revelation-232433314.html
2025/10/24 18:34,2025-10-22T23:24:07Z,Jim Cramer Couldn’t Stop Gushing About Cleveland-Cliffs’ (CLF) Rare Earth Announcement,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/jim-cramer-couldn-t-stop-232407824.html
2025/10/24 18:34,2025-10-22T23:24:15Z,Jim Cramer Discussed Capital One (COF) Ahead Of Its Earnings,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/jim-cramer-discussed-capital-one-232415024.html
2025/10/24 18:34,2025-10-22T22:55:06Z,Chinese Firms Speed up Dollar Selling Amid Optimism Toward Yuan,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/chinese-firms-speed-dollar-selling-225506909.html
2025/10/24 18:34,2025-10-22T23:24:23Z,Jim Cramer Corrects The Narrative For Arm Holdings (ARM),Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/jim-cramer-corrects-narrative-arm-232423864.html
2025/10/24 18:34,2025-10-22T23:30:02Z,This Dividend Stock Had a Record Q3: Is It Too Late to Buy After the 40% YTD Surge?,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/dividend-stock-had-record-q3-233002237.html
2025/10/24 18:34,2025-10-22T23:33:00Z,Review & Preview: Caution Flag,Yahoo Finance RSS,,,,,https://www.barrons.com/articles/review-preview-caution-flag-ef9a2090?siteid=yhoof2&yptr=yahoo
2025/10/24 18:34,2025-10-22T23:43:00Z,Southwest’s Revenue Is Growing. Stronger Travel Demand and Bag Fees Are Helping.,Yahoo Finance RSS,,,,,https://www.wsj.com/business/earnings/southwest-airlines-aims-for-highest-fourth-quarter-revenue-on-record-1894ef15?siteid=yhoof2&yptr=yahoo
2025/10/24 18:34,2025-10-22T23:01:13Z,Critics Warn Trump's $1.6 Trillion Loan Sale Could 'Short-Change Borrowers' — And That's The Real Problem,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/critics-warn-trumps-1-6-230113874.html
2025/10/24 18:34,2025-10-22T15:58:39Z,American Family auto insurance review 2025: 5 out of 5 stars,Yahoo Finance RSS,,,,,https://finance.yahoo.com/personal-finance/insurance/review/american-family-auto-insurance-review-155839352.html
2025/10/24 18:34,2025-10-22T22:23:43Z,Should You Buy Starbucks Stock Before Oct. 29? Here's What CEO Brian Niccol Might Have in Store for Investors,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/buy-starbucks-stock-oct-29-222343032.html
2025/10/24 18:34,2025-10-22T22:24:43Z,First look: Covenant Logistics Q3 profit slips on truckload weakness,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/first-look-covenant-logistics-q3-222443854.html
2025/10/24 18:34,2025-10-22T20:00:37Z,"Stock market today: Dow, S&P 500, Nasdaq fall as Netflix sinks, Tesla earnings loom",Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-fall-as-netflix-sinks-tesla-earnings-loom-182937566.html
2025/10/24 18:34,2025-10-22T22:25:43Z,Tesla earnings can't hide this big EV industry issue,Yahoo Finance RSS,,,,,https://finance.yahoo.com/news/tesla-earnings-cant-hide-big-222543184.html
